frog_id,pop,source,birth_site,birth_type,birth_yr,death_yr,EB,mass0,sul0,mass1,sul1,mass2,sul2,mass3,sul3,mass4,sul4,mass5,sul5,mass6,sul6,mass7,sul7,mass8,sul8,mass9,sul9,mass10,sul10,mass11
2014 WCEM01-01,VA,Maria,MS,Wild Caught,2014,unknown,1,4.95,33,,,54.27,70.4,98.37,74.4,,,,,,,,,,,,,,,
2014 WCEM02-02,VA,Morris,MV,Wild Caught,2014,NA,1,3.28,30,,,41.11,64.3,50.32,64.9,66.3,61,69.1,63.8,69.91,73.9,60.56,,,,,,,,
2015 CBEM04-01,VA,,VA,Captive Bred,2015,2019,1,,,24.38,51.3,76.34,71.9,104,72.3,,,,,,,,,,,,,,,
2015 CBEM04-05,VA,,VA,Captive Bred,2015,2019,1,,,38.66,60.4,69.28,70.1,102,71.1,,,,,,,,,,,,,,,
2015 CBEM06-01,VA,,VA,Captive Bred,2015,unknown,1,,,61.95,66.9,84.99,70.1,,,,,,,,,,,,,,,,,
2015 CBEM06-02,VA,Maria,VA,Captive Bred,2015,2021,0,,,54.53,67.3,95.97,78.4,95.2,71.6,103.3,70,80.75,85.2,,,,,,,,,,,
2015 CBEM06-03,VA,,VA,Captive Bred,2015,unknown,1,,,74.85,76.5,67.31,68.4,,,,,,,,,,,,,,,,,
2015 CBEM10-02,VA,Maria,VA,Captive Bred,2015,2020,0,,,28.53,60.8,57.81,67.2,81.58,73.3,38.9,57.1,,,,,,,,,,,,,
2015 WCEM02-01,VA,Elk,EK,Wild Caught,2015,2019,0,,,38.17,63.2,84.71,71.2,83.56,70.8,,,,,,,,,,,,,,,
2015 WCEM02-02,VA,Elk,EK,Wild Caught,2015,unknown,1,,,70.22,73.9,78.26,71.9,,,,,,,,,,,,,,,,,
2015 WCEM02-03,VA,Elk,EK,Wild Caught,2015,unknown,1,,,59.35,67.7,65.93,68.6,,,,,,,,,,,,,,,,,
2015 WCEM02-04,VA,Elk,EK,Wild Caught,2015,2019,0,,,54.85,65.7,73.99,66.3,80.54,62.3,,,,,,,,,,,,,,,
2015 WCEM02-05,VA,Elk,EK,Wild Caught,2015,unknown,1,,,34.04,62.4,78.25,67.8,,,,,,,,,,,,,,,,,
2015 WCEM03-01,VA,McLennan,ML,Wild Caught,2015,unknown,1,,,24.84,56.5,43.86,60.8,,,,,,,,,,,,,,,,,
2015 WCEM03-04,VA,McLennan,ML,Wild Caught,2015,NA,1,,,26.48,57.3,48.7,61.4,69.85,69.1,71,66.4,61.15,78.7,60.21,,,,,,,,,,
2015 WCEM03-05,VA,McLennan,ML,Wild Caught,2015,NA,1,,,29.15,58.4,44.16,61.9,65.52,62.2,63.8,65.9,63.48,78.2,69.58,,,,,,,,,,
2015 WCEM03-06,VA,McLennan,ML,Wild Caught,2015,2018,1,,,15.74,49.3,28.9,51.4,,,,,,,,,,,,,,,,,
2016 CBGHA#11-06,VA,Maria x Mountain,VA ,Captive Bred,2016,2020,1,5.72,34.6,57.22,67.6,70.3,60.6,67.1,65.5,,,,,,,,,,,,,,,
2016 CBGHA#11-07,VA,Maria x Mountain,VA,Captive Bred,2016,2018,1,5.1,33.9,39.29,58.2,,,,,,,,,,,,,,,,,,,
2016 CBGHA#11-08,VA,Maria x Mountain,VA,Captive Bred,2016,NA,1,3.22,30.3,50.14,64.1,62.6,62.4,68.9,63.9,55.13,69.7,64.86,,,,,,,,,,,,
2016 CBGHA#13-03,VA,,VA,Captive Bred,2016,2019,0,1.67,25.4,39.83,61.6,91.16,71.3,,,,,,,,,,,,,,,,,
2016 CBGHB#20-01,VA,Maria x Mountain,VA,Captive Bred,2016,2020,1,5.12,33.7,20.78,49.6,58.3,57.8,58,68.3,,,,,,,,,,,,,,,
2016 CBGHB#5-01,VA,Maria x Aldergrove,VA,Captive Bred,2016,2022,1,2.46,28.3,58.66,65.8,80.2,66.8,79,67.9,63.4,78.9,57.48,,,,,,,,,,,,
2016 CBGHB#5-02,VA,Maria x Aldergrove,VA,Captive Bred,2016,2020,1,4.64,32.4,46.08,63.6,72,60.6,57.8,63.4,,,,,,,,,,,,,,,
2016 WCEM01-01,VA,Morris,MV,Wild Caught,2016,NA,1,2.99,30.4,18.58,57,36,55.3,74.1,62.1,61.38,74.7,72.94,,,,,,,,,,,,
2016 WCEM01-03,VA,Morris,VA,Wild Caught,2016,2021,0,3.48,29.3,32.98,56,60.1,63.9,102.6,72.9,82.55,81.8,,,,,,,,,,,,,
2016 WCEM05-01,VA,Elk,VA,Wild Caught,2016,,1,4.94,35,39.53,64.5,,,,,,,,,,,,,,,,,,,
2016 WCEM05-02,VA,Elk,VA,Wild Caught,2016,2020,1,4.69,33.6,48.31,64.5,92.5,71.6,117.8,75.9,,,,,,,,,,,,,,,
2016 WCEM05-03,VA,Elk,EK,Wild Caught,2016,NA,1,4.27,32.8,35.93,59.8,74,62.9,58.1,58.3,62.4,70.8,75.44,,,,,,,,,,,,
2017 CBGHA#11-01,VA,Maria x Mountain,VA,Captive Bred,2017,2022,0,4.45,30.8,18.7,40.8,62.8,61.5,61.97,74.4,80.21,,,,,,,,,,,,,,
2017 CBGHA#2-01,VA,Morris x Mountain,VA,Captive Bred,2017,2021,0,5.81,34.1,48.6,62,58.4,64.5,57.73,72.6,,,,,,,,,,,,,,,
2017 CBGHA#2-02,VA,Morris x Mountain,VA,Captive Bred,2017,2020,0,5.31,34.9,55,62.2,60.1,67.3,,,,,,,,,,,,,,,,,
2017 CBGHA#2-03,VA,Morris x Mountain,VA,Captive Bred,2017,2020,1,5.36,34.4,49.5,48.5,54.4,65.2,,,,,,,,,,,,,,,,,
2017 CBGHA#22-02,VA,Maria,VA,Captive Bred,2017,2020,0,5.58,31.2,37.3,57.1,71.5,70.3,,,,,,,,,,,,,,,,,
2017 CBGHB#11-02,VA,Maria x Aldergrove,VA,Captive Bred,2017,NA,1,4.49,29.3,54.6,60.5,77.2,77.6,73.05,78.2,74.24,,,,,,,,,,,,,,
2017 CBGHB#11-05,VA,Maria x Aldergrove,VA,Captive Bred,2017,NA,1,1.62,22.9,39.3,56.2,54.8,72.8,46.98,72.8,47.3,,,,,,,,,,,,,,
2017 CBGHB#17-02,VA,Mountain,VA,Captive Bred,2017,2019,1,5.99,33.5,58,59.9,,,,,,,,,,,,,,,,,,,
2017 CBGHB#17-03,VA,Mountain,VA,Captive Bred,2017,NA,1,4.32,30.6,52,61.2,78.9,73.3,56.26,79.7,63.54,,,,,,,,,,,,,,
2017 WCEM01-02,VA,Morris,MV,Wild Caught,2017,NA,1,4.37,29.2,45.6,52.1,84.3,64.4,62.13,73.7,72.82,,,,,,,,,,,,,,
2017 WCEM02-01,VA,Maria,MS,Wild Caught,2017,NA,1,3.36,29.7,41.8,60,64,71.3,66.04,80.8,77.85,,,,,,,,,,,,,,
2017 WCEM03-01,VA,Maria,VA,Wild Caught,2017,2021,1,4.92,33,41,56.6,45.4,54.8,43.58,69.2,,,,,,,,,,,,,,,
2017 WCEM03-03,VA,Maria,VA,Wild Caught,2017,2020,0,4.22,29.9,40.6,55.9,59.4,60.5,,,,,,,,,,,,,,,,,
2017 WCEM03-04,VA,Maria,VA,Wild Caught,2017,2021,1,4.91,31.9,33.7,51.3,44.1,57.7,26.56,69.5,,,,,,,,,,,,,,,
2017 WCEM04-04,VA,Mountain,VA,Wild Caught,2017,2021,1,4.6,32.2,25.7,50.4,57.5,65.7,58.72,77.9,,,,,,,,,,,,,,,
2017 WCEM04-05,VA,Mountain,VA,Wild Caught,2017,2021,1,3.83,30.8,11.4,38.9,37.6,53.9,42.39,65.2,,,,,,,,,,,,,,,
2018 CBEM01-01,VA,Maria,VA,Captive Bred,2018,NA,1,21.54,51.7,70.8,61.2,50.91,69.9,53.45,,,,,,,,,,,,,,,,
2018 CBEM02-03,VA,Maria,VA,Captive Bred,2018,2020,0,16.48,46.4,76.8,67.2,,,,,,,,,,,,,,,,,,,
2018 CBEM03-01,VA,Elk x McLennan,VA,Captive Bred,2018,NA,1,7.38,38.9,59.3,67.6,54.88,74,64.56,,,,,,,,,,,,,,,,
2018 CBEM03-07,VA,Elk x McLennan,VA,Captive Bred,2018,2021,0,7.41,37.5,52.8,63.6,49.38,73.4,,,,,,,,,,,,,,,,,
2018 CBEM04-02,VA,,VA,Captive Bred,2018,NA,1,10.69,43.3,79.2,68.8,61.9,79.2,62.3,,,,,,,,,,,,,,,,
2018 CBEM04-03,VA,,VA,Captive Bred,2018,NA,1,11.91,44.3,58.8,64.6,42.6,69.7,47.72,,,,,,,,,,,,,,,,
2019 CBEM08-02,VA,Maria x Aldergrove,VA,Captive Bred,2019,2022,0,8,35.3,24.19,58.3,,,,,,,,,,,,,,,,,,,
2019 CBEM08-03,VA,Maria x Aldergrove,VA,Captive Bred,2019,NA,1,4.9,32.3,12.58,47.5,,,,,,,,,,,,,,,,,,,
2019 CBEM08-04,VA,Maria x Aldergrove,VA,Captive Bred,2019,NA,1,6.7,24.3,20.52,54.1,,,,,,,,,,,,,,,,,,,
2019 CBEM08-05,VA,Maria x Aldergrove,VA,Captive Bred,2019,2022,0,4.9,31.6,18.41,53.5,,,,,,,,,,,,,,,,,,,
2019 CBEM08-07,VA,Maria x Aldergrove,VA,Captive Bred,2019,2022,0,3.7,28.3,11.95,43.3,,,,,,,,,,,,,,,,,,,
2019 CBEM08-08,VA,Maria x Aldergrove,VA,Captive Bred,2019,2022,0,5,32,12.87,45.4,,,,,,,,,,,,,,,,,,,
2019 CBEM08-09,VA,Maria x Aldergrove,VA,Captive Bred,2019,2022,0,4.9,33,14.75,47.7,,,,,,,,,,,,,,,,,,,
2019 CBEM21-03,VA,Maria x Mountain,VA,Captive Bred,2019,2022,0,4.7,31.3,14.9,51.8,,,,,,,,,,,,,,,,,,,
2019 CBEM21-05,VA,Maria x Mountain,VA,Captive Bred,2019,NA,1,6.1,32.4,18.28,52.9,,,,,,,,,,,,,,,,,,,
2019 CBEM21-09,VA,Maria x Mountain,VA,Captive Bred,2019,NA,1,6.2,33.6,16.76,52,,,,,,,,,,,,,,,,,,,
2019 WCEM01-01,VA,Morris,MV,Wild Caught,2019,NA,1,1.6,22.5,9.04,45.6,,,,,,,,,,,,,,,,,,,
2019 WCEM01-02,VA,Morris,MV,Wild Caught,2019,NA,1,2.1,25.3,6.71,37.5,,,,,,,,,,,,,,,,,,,
2019 WCEM02-04,VA,Elk,EK,Wild Caught,2019,NA,1,3.6,27.7,12.31,46.7,,,,,,,,,,,,,,,,,,,
2019 WCEM02-05,VA,Elk,EK,Wild Caught,2019,NA,1,4,28.6,13.32,49.5,,,,,,,,,,,,,,,,,,,
2019 WCEM03-01,VA,Semmihault,ST,Wild Caught,2019,NA,1,5.2,33.7,16.51,51.6,,,,,,,,,,,,,,,,,,,
